0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.006493522,0.006493514,0.006493509,0.006493517,0.195692814,0.006493509,0.006493512,0.006493511,0.006493512,0.006493513,0.006493556,0.726384997,0.006493508,0.006493507
0.028857207,0.432499743,0.000307884,0.159429865,0.000307883,0.000307884,0.000307884,0.008542059,0.085195756,0.032705508,0.000307882,0.00941967,0.225841661,0.015969114
0.048519647,0.06836872,0.654933387,0.000298865,0.04336486,0.000298865,0.011825663,0.042281871,0.050613496,0.016780368,0.000298865,0.000298864,0.029271848,0.032844682
0.000394634,0.296070268,0.000394634,0.067159456,0.000394637,0.000394635,0.030386221,0.000394637,0.074688614,0.000394634,0.000394634,0.000394635,0.528143726,0.000394635
0.046570419,0.001552801,0.64486733,0.042523633,0.001552804,0.0015528,0.001552805,0.162209804,0.001552801,0.001552806,0.001552799,0.001552795,0.001552804,0.089853599
0.001742187,0.001742181,0.088722273,0.001742173,0.00174217,0.843204834,0.001742166,0.001742166,0.048909003,0.001742167,0.001742178,0.001742162,0.001742168,0.001742171
0.105578457,0.032749813,0.001785717,0.19472768,0.03895663,0.001785719,0.001785717,0.184847914,0.237016482,0.001785763,0.001785743,0.193622911,0.001785721,0.001785734
0.001373637,0.001373631,0.001373628,0.001373633,0.00137363,0.7932958,0.021734618,0.070966056,0.001373661,0.001373632,0.100267174,0.001373633,0.001373635,0.001373633
0.002100844,0.002100848,0.002100848,0.451366132,0.002100848,0.071520207,0.002100848,0.126995554,0.00210085,0.002100859,0.002100842,0.00210084,0.257584208,0.073626272
0.004761905,0.004761905,0.00476202,0.004761905,0.004761907,0.004761905,0.004761905,0.004761907,0.004761905,0.004761905,0.801383901,0.004761906,0.004761907,0.141473118
0.639910569,0.001831504,0.001831505,0.001831504,0.001831507,0.001831517,0.153608942,0.001831507,0.001831504,0.001831509,0.136772201,0.051393223,0.001831504,0.001831504
0.061354805,0.312263419,0.001231528,0.290588765,0.001231531,0.001231532,0.00123153,0.001231528,0.001231529,0.053132512,0.190583752,0.001231529,0.082224511,0.001231528
0.285893843,0.001322754,0.001322757,0.001322754,0.698233098,0.001322754,0.001322756,0.001322762,0.001322756,0.001322755,0.001322752,0.001322752,0.001322753,0.001322755
0.002380958,0.002380956,0.002380954,0.056204562,0.604499407,0.228610231,0.086876215,0.00238096,0.002380958,0.002380955,0.00238097,0.002380953,0.00238096,0.002380961
0.111873677,0.871642785,0.001373627,0.001373631,0.001373627,0.00137363,0.001373628,0.001373627,0.00137363,0.001373627,0.001373626,0.001373627,0.001373629,0.001373629
0.000811694,0.074835694,0.6519013,0.000811689,0.047714471,0.00081169,0.000811695,0.015123105,0.000811689,0.013484461,0.00081169,0.000811689,0.129585571,0.061673562
0.002040817,0.002040819,0.002040819,0.07044588,0.002040818,0.002040819,0.002040817,0.002040834,0.816530705,0.002040818,0.002040825,0.002040817,0.090574395,0.002040817
0.150042821,0.081064749,0.001623385,0.001623384,0.259671338,0.001623384,0.001623387,0.001623383,0.070075814,0.424534783,0.001623383,0.001623395,0.00162339,0.001623404
0.838747541,0.001322756,0.001322755,0.001322757,0.00132276,0.001322755,0.001322754,0.001322753,0.145379384,0.001322752,0.001322756,0.001322752,0.00132276,0.001322765
0.000311917,0.119384198,0.000311916,0.000311916,0.000311916,0.316262632,0.014207773,0.000311917,0.202724439,0.000311916,0.000311917,0.000311916,0.000311916,0.344613711
0.38863587,0.001231537,0.001231528,0.200736543,0.001231528,0.001231531,0.087009777,0.036071097,0.001231536,0.001231529,0.001231527,0.06224045,0.001231533,0.215454013
0.00056243,0.000562431,0.00056243,0.00056243,0.000562431,0.449549146,0.000562431,0.00056243,0.543701686,0.00056243,0.00056243,0.00056243,0.000562431,0.000562432
