,0,1,2,3,4,5,6,7,8,9,10,11,12,13,label,
158,,,,,0.957914587,,,,,,,,,,class5,0.4
159,,,,,,,,,0.408330174,,,,,,class9,0.4
160,,,,,0.842500262,,,,,,,,,,class5,0.4
161,,,,,,,,,,,0.942330595,,,,class11,0.4
162,,,,,0.746738267,,,,,,,,,,class5,0.4
163,,,,,,,,,,,,,,,NoClass,0.4
164,,0.612997013,,,,,,,,,,,,,class2,0.4
165,0.647378191,,,,,,,,,,,,,,class1,0.4
166,,0.580808711,,,,,,,,,,,,,class2,0.4
167,,,0.66968239,,,,,,,,,,,,class3,0.4
168,,,,,,,,,,,,,,,NoClass,0.4
169,,,,,0.981428563,,,,,,,,,,class5,0.4
170,,,,,,,,,,,,,,,NoClass,0.4
171,,,,,,,,,,,,,,,NoClass,0.4
172,0.413114329,,,,,,0.549618446,,,,,,,,class1,0.4
173,,,,,,,,,,,,,,,NoClass,0.4
174,,,,,,,,,,,,,,0.569207115,class13,0.4
175,,,,,0.791283864,,,,,,,,,,class5,0.4
176,,,,,,0.534715604,,,,,,,,,class6,0.4
177,,,,,,,0.505659427,,,,,,,,class7,0.4
178,,,,,,,,,0.610802474,,,,,,class9,0.4
179,,,,,0.683887712,,,,,,,,,,class5,0.4
180,,,,,,,0.482008457,,,,,,,,class7,0.4
181,,,0.533347814,,,,,,,,,,,,class3,0.4
182,,0.604745869,,,,,,,,,,,,,class2,0.4
183,,,,,,,0.643773043,,,,,,,,class7,0.4
184,,,,,,,,,,,,,,,NoClass,0.4
185,,,,,,,,,0.6254431,,,,,,class9,0.4
186,,,,,,,,,,,,,,,NoClass,0.4
187,,,,,,,,,0.674801344,,,,,,class9,0.4
188,0.951127717,,,,,,,,,,,,,,class1,0.4
189,,,,,,,,,,,,,,,NoClass,0.4
190,,,,,,,,,,,,0.609108999,,,class12,0.4
191,,,,,,,,,,,,,,,NoClass,0.4
192,,,,,,,,,,,0.942335514,,,,class11,0.4
193,,,,,,,,,,,,,,0.467411164,class13,0.4
194,,,,,,,,,,,,,,0.569098962,class13,0.4
195,,,,,,,,,,,0.467487007,,,,class11,0.4
196,,,,,0.852118928,,,,,,,,,,class5,0.4
197,,,,,0.972183935,,,,,,,,,,class5,0.4
198,,,,,,,,,,,,,,,NoClass,0.4
199,,,,,,0.75904651,,,,,,,,,class6,0.4
200,0.890066152,,,,,,,,,,,,,,class1,0.4
201,,,,,0.981792687,,,,,,,,,,class5,0.4
202,,,,,,,0.636511517,,,,,,,,class7,0.4
203,0.783705868,,,,,,,,,,,,,,class1,0.4
204,,,,,,,,0.4654176,0.469601543,,,,,,class8,0.4
205,,,,,,,,,0.456011128,,,,,,class9,0.4
206,,0.695153331,,,,,,,,,,,,,class2,0.4
207,,,,,,,,,0.50567936,,,,,,class9,0.4
208,,,0.758744914,,,,,,,,,,,,class3,0.4
209,,,,,,,0.461229477,,,,,,,,class7,0.4
210,,,,,,,,,,,,,,0.411535623,class13,0.4
211,0.751837172,,,,,,,,,,,,,,class1,0.4
212,,,,,,,,,0.463255767,,,,,,class9,0.4
213,0.556478313,,,,,,,,,,,,,,class1,0.4
214,,,,,,,,,,,,,,0.558187652,class13,0.4
215,0.728334647,,,,,,,,,,,,,,class1,0.4
216,,,,,,,,,,,,0.503888365,,,class12,0.4
217,,,,,,,,,,,,,0.538484666,,class13,0.4
218,,,,,0.84334544,,,,,,,,,,class5,0.4
219,0.493300744,,,,,,,,,,,,,,class1,0.4
220,,,,,,,,,,0.855835425,,,,,class10,0.4
221,,,,,,,,,0.620665834,,,,,,class9,0.4
222,,,,,,,,,,,,,,0.436421775,class13,0.4
223,,,,,,,,,,,,,,0.835558725,class13,0.4
224,,,,,,,,,,,,,,0.607091108,class13,0.4
225,,0.541146359,,,,,,,,,,,,,class2,0.4
226,,,,,0.668543971,,,,,,,,,,class5,0.4
227,0.813615557,,,,,,,,,,,,,,class1,0.4
228,,,,,,,,,,,0.81875313,,,,class11,0.4
229,,0.668870286,,,,,,,,,,,,,class2,0.4
230,,,0.41958665,,,,,,,,,,,,class3,0.4
231,,,,,,,,,,,,,0.593629957,,class13,0.4
232,,,,,,,,,,,,0.516632704,,,class12,0.4
233,,,,,,,,,,,0.728955731,,,,class11,0.4
234,,,,,,,,,,,,,,,NoClass,0.4
235,,,,,,,,,,,,,,,NoClass,0.4
236,,,,,,,,,,,,,,,NoClass,0.4
237,,,,,,,0.591814127,,,,,,,,class7,0.4
238,,,0.457113827,,,,,,,,,,,,class3,0.4
239,0.40743156,,,,,,0.425231481,,,,,,,,class1,0.4
240,,,,,,,0.447457262,,,,,,,,class7,0.4
241,,,,,,,,,,,,0.577418055,,,class12,0.4
242,,,,,,,0.448856812,,,,,,,,class7,0.4
243,,,,,,,,,,,,0.605238345,,,class12,0.4
244,,,0.421395725,,,,,,,,,,,,class3,0.4
245,,0.678717085,,,,,,,,,,,,,class2,0.4
246,,,,,0.669645776,,,,,,,,,,class5,0.4
247,,,0.503655838,,,,,,,,,,,,class3,0.4
248,,,,,,,,,,,,,,,NoClass,0.4
249,,,,,,0.526797931,,,,,,,,,class6,0.4
250,,,,,,,,,,0.457010872,,,,,class10,0.4
251,,,,,,,0.646933491,,,,,,,,class7,0.4
252,,,,,,,,,,,,,,,NoClass,0.4
253,,,,,0.970982122,,,,,,,,,,class5,0.4
254,,,,,,,0.409836424,,,,,,,,class7,0.4
255,,,,,,,,,,,,0.440721107,,,class12,0.4
256,,,,,,,,,,,,0.405980976,,,class12,0.4
257,,,,,,,,,,,,,,,NoClass,0.4
258,,,,,,,,,,,,,,,NoClass,0.4
259,,,,,0.930303634,,,,,,,,,,class5,0.4
260,,,,,,,0.437074116,,,,,,,,class7,0.4
261,0.9155843,,,,,,,,,,,,,,class1,0.4
262,,,,,0.872716506,,,,,,,,,,class5,0.4
263,,,,,0.88740188,,,,,,,,,,class5,0.4
264,,,,,,,,,,,,,0.436776087,,class13,0.4
265,,,,,,,,,,,,0.431081378,,,class12,0.4
266,,,,,0.831247241,,,,,,,,,,class5,0.4
267,,,,,0.747321651,,,,,,,,,,class5,0.4
268,,,,,,0.491870297,,,,,,,,,class6,0.4
269,0.751672403,,,,,,,,,,,,,,class1,0.4
270,,,,,,,,0.526956046,,,,,,,class8,0.4
271,,,,,,,,,0.635111562,,,,,,class9,0.4
272,,,,,,,,,0.441145847,,,,,,class9,0.4
273,,0.400904987,,,,,,,,,,,,,class2,0.4
274,,,,,,0.951127688,,,,,,,,,class6,0.4
275,0.75344395,,,,,,,,,,,,,,class1,0.4
276,,,,,,,,,,,,,,,NoClass,0.4
277,,0.471501747,,,,,,,,,,,,,class2,0.4
278,,,,,,,0.406237177,,,,,,,,class7,0.4
279,,,,,,,,,,,,,,,NoClass,0.4
280,,,,,0.834259932,,,,,,,,,,class5,0.4
281,,,,,0.881053477,,,,,,,,,,class5,0.4
282,,,,,,,,,,,,,,,NoClass,0.4
283,,,,,,,,,,,,,,,NoClass,0.4
284,0.424093877,,,,,,,,,,,,,,class1,0.4
285,,,,,,,0.41130002,,,,,,,,class7,0.4
286,,,,,0.749503373,,,,,,,,,,class5,0.4
287,,,,,,,0.748552854,,,,,,,,class7,0.4
288,,,,,,0.853911654,,,,,,,,,class6,0.4
289,,,,,,,,,,,,,,0.704969234,class13,0.4
290,,,,,,,0.94841256,,,,,,,,class7,0.4
291,,,,,,0.865803006,,,,,,,,,class6,0.4
292,,,,,,,,,,,,,,,NoClass,0.4
293,,,,,,0.658296789,,,,,,,,,class6,0.4
294,,,,,,,,,,,0.529433992,,,,class11,0.4
295,,,,,,,,,,,,,,,NoClass,0.4
296,,,,,,0.981792656,,,,,,,,,class6,0.4
297,,,,,0.775974628,,,,,,,,,,class5,0.4
298,,,,,0.442395288,,,,,,,,,,class5,0.4
299,0.602716463,,,,,,,,,,,,,,class1,0.4
300,,,,,,0.816174961,,,,,,,,,class6,0.4
301,,0.574657862,,,,,,,,,,,,,class2,0.4
302,,,,,,,,,,,,,,,NoClass,0.4
303,0.73641617,,,,,,,,,,,,,,class1,0.4
304,,,,,,,,,,,,,,,NoClass,0.4
305,,,,,,,0.661973331,,,,,,,,class7,0.4
306,,,,,,,0.438831415,,,,,,,,class7,0.4
307,,,,,,,0.977891102,,,,,,,,class7,0.4
308,,,,,,,0.460896752,,,,,,,,class7,0.4
309,0.933673135,,,,,,,,,,,,,,class1,0.4
310,,,,,,,,0.861189304,,,,,,,class8,0.4
311,,,,,,,,,,,,,,,NoClass,0.4
312,,,,,,0.615352483,,,,,,,,,class6,0.4
313,,,,,,,0.742545942,,,,,,,,class7,0.4
314,0.703135304,,,,,,,,,,,,,,class1,0.4
315,,,0.975563892,,,,,,,,,,,,class3,0.4
316,,,0.49206951,,,,,,,,,0.481956423,,,class3,0.4
317,,,,,,,,,,0.492725188,,,,,class10,0.4
318,,,,,,0.521228311,,,,,,,,,class6,0.4
319,,,,,,,,,,,,,,,NoClass,0.4
320,,,,,,,,,,,,0.406311291,,,class12,0.4
321,,,,,,,,,0.637946904,,,,,,class9,0.4
322,0.787682183,,,,,,,,,,,,,,class1,0.4
323,,,,,,,,,,,,,,0.668739548,class13,0.4
324,,,,,,,,,,,,0.541960557,,,class12,0.4
325,,,,,,,,,,,,,,,NoClass,0.4
326,,,,,,,,,,,,0.423266289,,,class12,0.4
327,0.483419239,,,,,,,,,,,,,,class1,0.4
328,0.616453758,,,,,,,,,,,,,,class1,0.4
329,,,,,,,,,0.414675748,,,,,,class9,0.4
330,,,,0.491596805,,,,,,,,,,,class4,0.4
331,,,0.550116243,,,,,,,,,,,,class3,0.4
332,,0.73908625,,,,,,,,,,,,,class2,0.4
333,,,,,,,,,,,,0.618106668,,,class12,0.4
334,,,,,0.852924658,,,,,,,,,,class5,0.4
335,,,,,,,,,,0.418582753,,,,,class10,0.4
336,0.94563526,,,,,,,,,,,,,,class1,0.4
337,,,0.955782211,,,,,,,,,,,,class3,0.4
338,,,,,,,,,,,,0.46463091,,,class12,0.4
339,,,,,,,,,,,,,,,NoClass,0.4
340,,,,,,,,,,,,,,0.737808,class13,0.4
341,,,0.598824484,,,,,,,,,,,,class3,0.4
342,,,,,,,,,,,,,,0.828459952,class13,0.4
343,0.86147798,,,,,,,,,,,,,,class1,0.4
344,,,,,,,,0.490311789,,,,,,,class8,0.4
345,,,,,,,0.418527029,,,,,,,,class7,0.4
346,,,0.703440768,,,,,,,,,,,,class3,0.4
347,,,,,,,,,,,,,,,NoClass,0.4
348,,,,,,,,,,,,,0.511688107,,class13,0.4
349,,,,,,,,,,,,,,,NoClass,0.4
350,,,,,,,,,,,,,0.495123984,,class13,0.4
351,,,,,0.861530549,,,,,,,,,,class5,0.4
352,,,0.679395783,,,,,,,,,,,,class3,0.4
353,,,,,,,,,,0.423466072,,,,,class10,0.4
354,,,,,,,0.533936216,,,,,,,,class7,0.4
355,,,,,,,0.757787661,,,,,,,,class7,0.4
356,,0.482987534,,,,,,,,,,,,0.403550587,class2,0.4
357,,,,,,,,,,,,,,,NoClass,0.4
358,,,,,0.969047613,,,,,,,,,,class5,0.4
359,,,,,,,0.563834644,,,,,,,,class7,0.4
360,,,,,,,,,,,,,,,NoClass,0.4
361,,,,,,,,,,,,,,,NoClass,0.4
362,,,,,,,0.812688657,,,,,,,,class7,0.4
363,,,,,,,,,,,,,,,NoClass,0.4
364,,,,,,,0.446679908,,,,,,,,class7,0.4
365,,,,,,0.828639159,,,,,,,,,class6,0.4
366,,,,,,,,,,,,,,,NoClass,0.4
367,,,,,,,,,,,,,,,NoClass,0.4
368,,,,,,,,,,,,,,0.950058191,class13,0.4
369,,,,0.614555343,,,,,,,,,,,class4,0.4
370,0.506115666,,,,,,,,,,,,,,class1,0.4
371,,,,,,,0.816154146,,,,,,,,class7,0.4
372,,,,,,,,,,,,,,,NoClass,0.4
373,,,,,,0.733428424,,,,,,,,,class6,0.4
374,,,,,,,,,,,,,,,NoClass,0.4
375,,,,,,,,,,0.59040633,,,,,class10,0.4
376,,,,,0.95129424,,,,,,,,,,class5,0.4
377,,,,0.642352967,,,,,,,,,,,class4,0.4
378,0.928571356,,,,,,,,,,,,,,class1,0.4
379,,,,,0.974206295,,,,,,,,,,class5,0.4
380,,,0.660674791,,,,,,,,,,,,class3,0.4
381,0.770344907,,,,,,,,,,,,,,class1,0.4
382,,,,,,,,,,,,,,,NoClass,0.4
383,,,,,0.744314292,,,,,,,,,,class5,0.4
384,,,,,0.718522532,,,,,,,,,,class5,0.4
385,,,,,,,,,,,,,,0.491400448,class13,0.4
386,,,,,,,0.791783497,,,,,,,,class7,0.4
387,,,,,,,,,,,,0.541503861,,,class12,0.4
388,0.857526069,,,,,,,,,,,,,,class1,0.4
389,,,,,,,,,,,,0.440892152,,,class12,0.4
390,,,,,,,,,0.428923701,,,,,,class9,0.4
391,,,,,,,,,,,,0.463413067,,,class12,0.4
392,,,,,0.981049553,,,,,,,,,,class5,0.4
393,,,,,,,,,,,,,0.559708029,,class13,0.4
394,,,,,,,,,,,,,,,NoClass,0.4
395,,,,,,,,,,,,,,,NoClass,0.4
396,0.616173621,,,,,,,,,,,,,,class1,0.4
397,,,,,,,,,,,,,,,NoClass,0.4
398,,,,,0.801980197,,,,,,,,,,class5,0.4
399,,,,,,,,,,,,0.460356634,,,class12,0.4
400,,,0.518237187,,,,,,,,,,,,class3,0.4
401,,,,,,,,,,,,,,,NoClass,0.4
402,,0.731774457,,,,,,,,,,,,,class2,0.4
403,,,,,,,,,,,,,,0.72262877,class13,0.4
404,0.711948542,,,,,,,,,,,,,,class1,0.4
405,0.866411829,,,,,,,,,,,,,,class1,0.4
406,,,,,,,,,,,,0.48407662,,,class12,0.4
407,,,,,,,,,,,,,,0.600691757,class13,0.4
408,,,0.548649936,,,,,,,,,,,,class3,0.4
409,,,,,,,,,,,,0.564612304,,,class12,0.4
410,,,,,,,,,,,0.676528356,,,,class11,0.4
411,,,,,,,,,,0.535706763,,,,,class10,0.4
412,,,,,0.714963571,,,,,,,,,,class5,0.4
413,,,,,,,,,,,,,,,NoClass,0.4
414,,,,,,,,,,,,,,,NoClass,0.4
415,,,,,,0.62047879,,,,,,,,,class6,0.4
416,,,,,,,,,,,,,,,NoClass,0.4
417,,,,,,,0.490325539,,,,,,,,class7,0.4
418,,,,,,0.976785654,,,,,,,,,class6,0.4
419,,,,,,,,,,,,,,,NoClass,0.4
420,,,,,0.787000609,,,,,,,,,,class5,0.4
421,,,,,,,,0.554388921,,,,,,,class8,0.4
422,,,,,0.970046075,,,,,,,,,,class5,0.4
423,,,0.412145665,,,,,,,,0.550587202,,,,class3,0.4
424,,,,,,,,,0.506714904,,,,,,class9,0.4
425,,,,,,,0.485488178,,,,,,,,class7,0.4
426,,,,,,,,,,,,,,,NoClass,0.4
427,,,0.904273784,,,,,,,,,,,,class3,0.4
428,,,,,,,,,,,,,,,NoClass,0.4
429,,,,,0.937753739,,,,,,,,,,class5,0.4
430,,,,,,,,,,,,,,,NoClass,0.4
