0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.000584799,0.720490051,0.000584796,0.000584796,0.000584796,0.000584796,0.000584797,0.000584796,0.000584797,0.000584797,0.000584796,0.219572253,0.000584797,0.000584796,0.052920137
0.001190476,0.001190477,0.001190479,0.873128656,0.001190477,0.001190477,0.001190476,0.001190476,0.001190477,0.001190477,0.001190476,0.001190478,0.001190476,0.001190477,0.111395144
0.005128216,0.005128213,0.188386358,0.005128206,0.005128221,0.005128224,0.005128208,0.00512821,0.005128208,0.005128209,0.005128219,0.744946871,0.005128209,0.005128208,0.005128219
0.036503922,0.000256411,0.083641839,0.000256411,0.000256411,0.060203119,0.000256411,0.00976571,0.000256411,0.04443934,0.005254292,0.722755744,0.000256411,0.000256411,0.035641157
0.002666679,0.962666621,0.002666672,0.002666667,0.002666669,0.002666672,0.00266667,0.002666671,0.002666669,0.002666668,0.002666667,0.002666667,0.002666672,0.002666667,0.002666668
0.001960787,0.25836921,0.324924684,0.001960785,0.001960785,0.001960785,0.001960787,0.001960786,0.001960785,0.098920717,0.001960786,0.296216744,0.001960788,0.001960785,0.001960785
0.126954114,0.000335009,0.010141636,0.091288544,0.119639043,0.000335009,0.181701627,0.206755698,0.236007287,0.025166988,0.000335009,0.00033501,0.000335009,0.000335009,0.000335009
0.041882786,0.001360546,0.080555018,0.001360545,0.037443985,0.351316245,0.001360546,0.001360547,0.001360548,0.001360546,0.001360545,0.437389893,0.039167159,0.001360545,0.001360545
0.001149428,0.00114943,0.422543877,0.001149426,0.001149427,0.085350271,0.001149427,0.001149427,0.001149428,0.001149427,0.038200202,0.185888712,0.170024306,0.087647786,0.001149426
0.001550389,0.001550388,0.44369953,0.001550391,0.058273196,0.120648814,0.00155039,0.001550389,0.001550389,0.279256856,0.052780688,0.03138741,0.001550388,0.001550389,0.001550393
0.000749064,0.000749064,0.000749064,0.712537619,0.277724543,0.000749064,0.000749065,0.000749067,0.000749065,0.000749065,0.000749064,0.000749064,0.000749064,0.000749064,0.000749064
0.002898552,0.123888605,0.002898554,0.002898551,0.097726484,0.002898552,0.002898553,0.002898552,0.053533772,0.592656696,0.002898551,0.002898551,0.002898551,0.103208925,0.002898551
0.001075271,0.00107527,0.001075273,0.00107527,0.199674152,0.00107527,0.00107527,0.001075269,0.00107527,0.684744767,0.001075269,0.001075271,0.00107527,0.00107527,0.102677838
0.000641027,0.000641028,0.660963408,0.000641028,0.000641027,0.066263357,0.000641027,0.012399758,0.000641027,0.202730704,0.000641026,0.000641027,0.000641026,0.051232506,0.000641026
0.105467507,0.001169591,0.719916873,0.001169597,0.001169594,0.001169592,0.001169593,0.001169595,0.001169599,0.001169593,0.001169592,0.160580497,0.001169593,0.001169591,0.001169593
0.002083334,0.002083336,0.20476923,0.002083335,0.356409881,0.331152133,0.08475207,0.002083335,0.002083339,0.002083336,0.002083334,0.002083335,0.002083334,0.002083334,0.002083335
0.003174605,0.003174606,0.003174605,0.003174603,0.003174603,0.003174607,0.003174604,0.003174604,0.003174604,0.003174603,0.955555523,0.003174605,0.003174621,0.003174603,0.003174603
0.001333336,0.001333335,0.001333335,0.957026856,0.001333335,0.02563977,0.001333334,0.001333334,0.001333339,0.001333336,0.001333334,0.001333335,0.001333334,0.001333334,0.001333353
0.001709406,0.001709403,0.001709404,0.001709403,0.116892828,0.243847392,0.040157813,0.001709407,0.05353554,0.001709405,0.321756419,0.166685318,0.001709403,0.043449456,0.001709403
0.001587302,0.001587302,0.001587302,0.001587302,0.001587302,0.096025204,0.001587302,0.001587302,0.001587302,0.001587302,0.001587302,0.001587302,0.883339871,0.001587302,0.001587302
0.001550388,0.001550392,0.978294545,0.001550388,0.001550389,0.001550391,0.00155039,0.001550389,0.001550389,0.001550389,0.00155039,0.00155039,0.001550388,0.001550391,0.001550391
0.000833339,0.216279401,0.000833335,0.072890168,0.000833336,0.051866608,0.425775037,0.067986027,0.000833335,0.000833335,0.000833334,0.118534095,0.000833335,0.018433067,0.022402248
0.036007665,0.943357401,0.001587303,0.001587302,0.001587304,0.001587303,0.001587303,0.001587303,0.001587303,0.001587302,0.001587302,0.001587303,0.001587304,0.001587302,0.001587302
0.005128232,0.00512821,0.005128206,0.005128224,0.005128206,0.00512821,0.169964726,0.005128208,0.00512821,0.005128208,0.763368514,0.005128208,0.005128218,0.005128216,0.005128205
0.013256621,0.000199601,0.024253707,0.154622433,0.513243516,0.01472483,0.183184846,0.000199601,0.083548051,0.000199601,0.000199601,0.01176879,0.000199601,0.000199601,0.000199601
0.148675761,0.001212123,0.595974465,0.001212125,0.001212124,0.001212125,0.001212122,0.051211301,0.001212124,0.001212123,0.001212123,0.190805117,0.001212123,0.001212123,0.001212122
0.003333335,0.003333337,0.054503309,0.003333334,0.003333334,0.070047596,0.003333334,0.003333334,0.003333334,0.003333334,0.835449077,0.003333335,0.003333342,0.003333334,0.003333333
0.001169593,0.771052809,0.001169592,0.001169591,0.001169591,0.001169593,0.108236711,0.001169591,0.001169591,0.001169591,0.001169591,0.001169593,0.001169592,0.106675377,0.001169592
0.002380953,0.002380953,0.051731944,0.002380954,0.118708568,0.002380956,0.002380954,0.002380958,0.002380953,0.568509081,0.002380953,0.002380966,0.002380952,0.234859892,0.002380964
0.001234571,0.00123457,0.16805946,0.001234572,0.001234572,0.485663725,0.001234569,0.001234569,0.107109923,0.001234573,0.001234568,0.001234571,0.001234568,0.22558662,0.00123457
0.000766286,0.063095295,0.140358542,0.354087014,0.000766286,0.000766285,0.000766284,0.000766285,0.083293514,0.121090932,0.014559716,0.049329567,0.032761011,0.136826698,0.000766284
0.290149682,0.000709221,0.095200514,0.036708274,0.117124343,0.000709222,0.333451437,0.036013586,0.000709221,0.08567839,0.00070922,0.000709221,0.00070922,0.000709223,0.000709224
0.232643436,0.001851854,0.001851853,0.001851853,0.001851853,0.001851855,0.001851853,0.001851853,0.001851852,0.001851853,0.001851853,0.743282469,0.001851858,0.001851853,0.001851852
0.001282053,0.042581791,0.036140563,0.001282057,0.147014858,0.132271034,0.001282052,0.001282052,0.001282053,0.001282055,0.028872827,0.001282052,0.001282051,0.424827841,0.17803466
0.102660015,0.000289855,0.000289856,0.012840685,0.000289856,0.000289856,0.034581428,0.743855988,0.043536127,0.000289856,0.000289856,0.059917056,0.000289856,0.000289856,0.000289856
0.001851852,0.001851852,0.001851852,0.001851852,0.001851852,0.001851852,0.001851853,0.001851852,0.001851852,0.001851852,0.001851852,0.001851853,0.974074068,0.001851852,0.001851852
